srcIP,srcPort,dstIP,dstPort,protocol,flowSize,pkt-size-0,pkt-size-1,pkt-size-2,pkt-size-3,pkt-size-4,pkt-size-5,pkt-size-6,pkt-size-7,pkt-size-8,pkt-size-9
244.3.90.4,59984,41.177.98.92,22,TCP,14081404,52,116,52,52,52,52,52,52,52,52
41.177.98.92,22,244.3.90.4,59984,TCP,645146368,1420,1420,1420,1292,1420,1420,1420,1420,1420,1420
40.193.220.98,8147,41.177.241.46,4500,UDP,3632456,384,176,176,144,384,176,176,144,384,176
244.3.153.67,1359,41.177.202.249,445,TCP,2576802,320,116,116,85,320,116,116,85,320,116
41.177.202.249,445,244.3.153.67,1359,TCP,2158297,147,112,160,79,147,112,160,79,147,112
41.177.241.46,4500,40.193.220.98,8147,UDP,3261624,208,176,224,144,208,176,224,144,208,176
244.3.93.198,4112,41.177.241.108,3389,TCP,2040,40,40,40,40,40,40,40,40,40,40
186.168.57.204,25,244.3.210.255,3465,TCP,794,59,62,94,40,40,40,40,40,40,40
244.3.210.255,3465,186.168.57.204,25,TCP,12858,79,46,1500,1500,1500,1500,1500,1500,1500,1500
48.90.81.188,25,244.3.210.255,3429,TCP,509,54,40,40,40,40,40,68,40,67,40
244.3.210.255,3429,48.90.81.188,25,TCP,12731,1420,1420,1420,1420,1420,1420,1420,1420,1245,46
41.177.241.164,1985,210.218.218.164,1985,UDP,2000,48,48,48,48,44,44,48,48,48,48
194.92.16.244,25,244.3.210.255,3387,TCP,304,96,40,88,40,40,0,0,0,0,0
41.177.26.176,80,77.197.210.249,6512,TCP,10574,768,786,800,251,1424,1500,1072,1500,1500,973
244.3.202.202,53,244.3.210.230,53695,UDP,598,423,175,0,0,0,0,0,0,0,0
244.3.210.255,3475,122.77.41.164,25,TCP,13078,48,40,64,74,77,46,1420,1420,1420,1420
41.177.26.176,59106,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59106,UDP,214,214,0,0,0,0,0,0,0,0,0
122.248.218.117,80,244.3.160.239,33064,TCP,4046,40,1500,1500,926,40,40,0,0,0,0
244.3.210.255,3387,194.92.16.244,25,TCP,126,46,40,40,0,0,0,0,0,0,0
77.197.210.239,61228,41.177.26.176,80,TCP,544,40,344,40,40,40,40,0,0,0,0
244.197.176.108,25,244.3.210.255,3437,TCP,423,40,40,40,40,76,40,67,40,40,0
77.197.254.85,60028,244.3.210.197,80,TCP,460,48,40,212,40,40,40,40,0,0,0
244.3.210.197,80,77.197.254.85,60028,TCP,6801,48,1500,1500,1500,1500,753,0,0,0,0
122.248.218.117,80,244.3.160.239,33065,TCP,699,40,579,40,40,0,0,0,0,0,0
186.84.41.197,25,244.3.210.255,3419,TCP,561,40,40,40,40,40,40,40,40,72,40
244.3.210.255,3419,186.84.41.197,25,TCP,6717,1500,1500,1500,1500,591,46,40,40,0,0
41.177.26.176,59107,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59107,UDP,238,238,0,0,0,0,0,0,0,0,0
41.177.26.176,59108,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59108,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.26.176,59109,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
244.3.210.255,3437,244.197.176.108,25,TCP,126,46,40,40,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59109,UDP,214,214,0,0,0,0,0,0,0,0,0
244.3.160.239,33065,122.248.218.117,80,TCP,120,40,40,40,0,0,0,0,0,0,0
