srcIP,srcPort,dstIP,dstPort,protocol,mean,var,max,min,flowSize
41.177.98.92,22,244.3.90.4,59984,TCP,495.6,374900.64,1420,52,4956
244.3.153.209,4213,244.3.176.224,445,TCP,49.9,342.09,103,40,499
244.3.90.4,59984,41.177.98.92,22,TCP,106.4,1751.0399999999997,164,52,1064
244.3.176.224,445,244.3.153.209,4213,TCP,1190.0,0.0,1190,1190,11900
41.177.241.46,443,151.77.15.155,3891,UDP,1273.0,0.0,1273,1273,12730
244.3.210.98,137,244.3.210.176,137,UDP,78.0,0.0,78,78,624
41.43.180.128,80,244.3.160.239,64767,TCP,40.0,0.0,40,40,40
151.77.15.155,3891,41.177.241.46,443,UDP,125.8,53.760000000000005,137,121,1258
41.177.3.224,65238,41.177.117.184,1613,TCP,334.6,13305.84,453,40,3346
77.197.210.122,62986,41.177.26.176,80,TCP,40.0,0.0,40,40,40
244.3.90.4,20714,41.177.98.92,5632,TCP,80.0,0.0,80,80,800
253.160.239.39,1521,253.37.253.167,63511,TCP,206.7,6949.8099999999995,251,40,2067
77.197.210.106,55305,41.177.26.176,80,TCP,85.0,11448.285714285714,347,40,595
41.177.26.176,80,77.197.210.106,55305,TCP,1084.9,331792.48999999993,1500,40,10849
77.197.217.218,7554,41.177.26.176,80,TCP,40.0,0.0,40,40,200
41.177.26.176,80,77.197.217.218,7554,TCP,1178.4285714285713,221350.2448979592,1500,207,8249
41.177.24.249,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
244.3.185.254,1151,41.177.98.220,7030,TCP,126.2,2941.9599999999996,230,40,1262
77.197.210.123,57560,41.177.26.176,80,TCP,40.0,0.0,40,40,160
41.177.26.176,80,77.197.210.123,57560,TCP,1067.7142857142858,161398.20408163266,1500,474,7474
41.177.204.41,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
244.3.153.209,4273,41.177.3.75,443,TCP,283.2,155280.75999999998,1190,40,2832
41.177.3.75,443,244.3.153.209,4273,TCP,960.0,211600.0,1190,40,9600
41.177.4.192,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
244.3.210.41,1985,210.218.218.164,1985,UDP,47.2,2.56,48,44,472
128.71.90.164,80,244.3.160.239,64766,TCP,1354.0,191844.0,1500,40,13540
177.176.39.176,2463,41.177.98.142,80,TCP,82.55555555555556,6767.802469135804,315,52,743
41.177.98.142,80,177.176.39.176,2463,TCP,812.5,397597.85,1420,52,8125
77.197.210.2,52627,41.177.26.176,80,TCP,40.0,0.0,40,40,160
41.177.26.176,80,77.197.210.2,52627,TCP,1465.0,1225.0,1500,1430,2930
244.3.93.198,1904,41.177.241.254,3389,TCP,40.0,0.0,40,40,400
244.3.34.194,34028,41.177.26.210,22,TCP,76.0,576.0,100,52,760
41.177.26.210,22,244.3.34.194,34028,TCP,100.0,0.0,100,100,1000
41.177.46.192,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
244.3.4.192,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
80.132.186.142,57270,41.177.26.91,80,TCP,75.2,4485.76,276,52,752
41.177.26.91,80,80.132.186.142,57270,TCP,1191.6,324769.44,1500,52,11916
16.176.93.164,3939,244.3.160.239,80,TCP,40.0,0.0,40,40,80
41.177.26.15,80,77.197.210.247,56315,TCP,1470.4,7885.44,1500,1204,14704
244.3.160.239,80,16.176.93.164,3939,TCP,40.0,0.0,40,40,40
106.37.77.3,49867,41.177.26.46,80,TCP,46.0,36.0,52,40,184
41.177.26.46,80,106.37.77.3,49867,TCP,52.0,0.0,52,52,104
41.177.98.57,50316,41.177.202.202,53,UDP,72.0,0.0,72,72,72
77.197.210.122,63256,41.177.26.176,80,TCP,85.14285714285714,11523.265306122456,348,40,596
41.177.26.176,80,77.197.210.122,63256,TCP,1012.0,319085.6,1500,40,10120
244.3.160.239,64766,128.71.90.164,80,TCP,40.0,0.0,40,40,400
41.177.202.202,53,41.177.98.57,50316,UDP,299.0,0.0,299,299,299
244.3.141.201,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
41.177.98.57,50317,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50317,UDP,275.0,0.0,275,275,275
41.177.98.57,50318,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50318,UDP,275.0,0.0,275,275,275
244.3.160.239,80,41.177.159.26,6626,TCP,1019.4,170354.04,1420,426,10194
41.177.159.26,6626,244.3.160.239,80,TCP,52.0,0.0,52,52,520
117.194.224.181,1887,244.3.210.197,80,TCP,496.3,138815.00999999998,805,40,4963
41.177.241.254,1040,41.177.241.176,1100,UDP,133.0,0.0,133,133,1330
244.3.210.197,80,117.194.224.181,1887,TCP,252.8,0.16,253,252,2528
77.197.210.67,37572,41.177.26.176,80,TCP,40.0,0.0,40,40,80
41.106.176.15,28445,41.177.241.46,443,TCP,135.5,5878.25,302,40,1355
244.3.210.197,80,68.157.168.82,59520,TCP,1355.2,188703.36000000004,1500,52,13552
151.77.15.118,1687,41.177.241.46,443,UDP,193.0,2470.4,329,121,1930
244.3.153.33,137,244.3.31.251,137,UDP,96.0,0.0,96,96,960
253.37.253.167,63511,253.160.239.39,1521,TCP,83.3,0.8099999999999999,86,83,833
41.177.180.204,1985,210.218.218.164,1985,UDP,47.6,1.44,48,44,476
41.106.180.77,1269,41.177.241.46,443,TCP,59.8,261.36,73,40,299
